Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,15p,
"C10, C15, C16, C17, C5",0603,5,0.1u,
"C11, C12, C13, C14, C6",C_Disc_D4.7mm_W2.5mm_P5.00mm,5,0.1u,
C3,CP_Radial_D6.3mm_P2.50mm,1,1uF,
"C4, C7, C8, C9",0603,4,1u,
"D1, D2, D3, D4, D5, D6, D7, D8",0805,8,TLO1002,
D10,D_DO-35_SOD27_P2.54mm_Vertical_KathodeUp,1,6.2V,
D11,LED_D3.0mm,1,LED,
D9,D_SMA_Handsoldering,1,D,
F1,C_Disc_D8.0mm_W2.5mm_P5.00mm,1,Polyfuse,
"FB1, FB2",0603,2,FerriteBead,
"J1, J2",PinHeader_2x02_P2.54mm_Vertical,2,Conn_02x02_Odd_Even,
"J10, J11",PinHeader_2x14_P2.54mm_Vertical,2,Conn_02x14_Odd_Even,
"J12, J7",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,Conn_01x02,
J3,DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm,1,DE9_Pins_MountingHoles,
J4,BarrelJack_Horizontal,1,Barrel_Jack_Switch,
"J5, J9",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03,
J6,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J8,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
PS1,Converter_DCDC_XP_POWER-IAxxxxS_THT,1,MAU108,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,100k,
R2,0603,1,1M,
"R3, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,1k,
R5,0603,1,0,
"R6, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,5k,
R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,2k,
RN1,R_Array_SIP5,1,10k x4,
"RN2, RN4",R_Array_SIP9,2,10k x8,
RN3,R_Array_SIP9,1,2.2k x8,
RV1,Potentiometer_Runtron_RM-065_Vertical,1,20k Trim,
SW1,SW_PUSH_6mm,1,SW_Push,
SW2,SW_2MS1-T1-B4-VS2-Q-E-S,1,SW_SPDT_SHIELD,
U1,DIP-48_W15.24mm_Socket_LongPads,1,Z0880020PSC,
U2,DIP-16_W7.62mm_Socket_LongPads,1,MAX232,
U3,DIP-20_W7.62mm_Socket_LongPads,1,74HC373,
U4,DIP-20_W7.62mm_Socket_LongPads,1,GAL16V8B,
U5,DIP-28_W15.24mm,1,HM62256BLP,
U6,DIP-16_W7.62mm_Socket_LongPads,1,DAC08,
U7,DIP_Socket-28_W11.9mm_W12.7mm_W15.24mm_W17.78mm_W18.5mm_3M_228-1277-00-0602J,1,27C256,
U8,DIP-8_W7.62mm_Socket_LongPads,1,LM741,
Y1,Crystal_HC49-U_Vertical,1,19.6608MHz,
