Designator,Mid X,Mid Y,Rotation,Layer
C1,84.455,-77.47,270.0,bottom
C10,136.652,-53.594,180.0,bottom
C11,128.655544,-82.81,0.0,top
C12,153.924,-42.4688,180.0,top
C13,170.815,-103.505,270.0,top
C14,158.115,-112.395,270.0,top
C15,182.88,-47.25,0.0,bottom
C16,188.976,-100.076,90.0,bottom
C17,175.514,-105.156,90.0,bottom
C2,84.455,-72.0975,90.0,bottom
C3,74.95,-53.34,180.0,top
C4,121.5125,-43.18,0.0,bottom
C5,94.615,-74.295,270.0,bottom
C6,114.3,-40.68,270.0,top
C7,127.0,-43.18,0.0,bottom
C8,132.08,-43.18,0.0,bottom
C9,116.205,-44.45,270.0,bottom
D1,81.289,-75.438,180.0,top
D10,107.95,-38.1,270.0,top
D11,115.824,-30.48,270.0,top
D2,81.289,-77.978,180.0,top
D3,81.289,-80.518,180.0,top
D4,81.289,-83.058,180.0,top
D5,81.289,-85.598,180.0,top
D6,81.289,-88.138,180.0,top
D7,81.289,-90.678,180.0,top
D8,81.28,-93.162,180.0,top
D9,104.14,-30.44,270.0,top
F1,99.06,-30.48,90.0,top
FB1,140.335,-108.345,270.0,bottom
FB2,146.05,-104.14,90.0,bottom
J1,100.97,-41.27,270.0,top
J10,191.77,-66.3,0.0,top
J11,72.39,-92.71,0.0,top
J12,192.405,-107.295,270.0,top
J2,142.24,-39.37,0.0,top
J3,138.775,-31.3,180.0,top
J4,79.325,-44.26,0.0,top
J5,159.4612,-43.3324,180.0,top
J6,140.5636,-52.6796,0.0,top
J7,83.84,-29.21,0.0,top
J8,179.07,-34.29,270.0,top
J9,169.545,-113.665,180.0,top
PS1,142.875,-103.505,0.0,top
R1,83.82,-52.07,270.0,top
R2,88.9,-74.93,90.0,bottom
R3,107.95,-30.48,270.0,top
R4,111.125,-30.48,270.0,top
R5,171.1725,-98.425,0.0,top
R6,161.925,-113.665,270.0,top
R7,165.735,-113.665,270.0,top
R8,174.625,-104.775,270.0,top
RN1,110.49,-76.2,270.0,top
RN2,110.49,-55.88,270.0,top
RN3,77.724,-83.058,270.0,top
RN4,87.63,-55.88,270.0,top
RV1,182.505,-111.76,90.0,top
SW1,76.76,-62.575,0.0,top
SW2,92.71,-34.92,180.0,top
U1,99.06,-77.47,0.0,top
U2,127.0,-41.91,90.0,top
U3,132.08,-67.57,0.0,top
U4,127.425544,-98.05,0.0,top
U5,151.13,-66.04,0.0,top
U6,158.115,-102.235,270.0,top
U7,175.26,-66.3,0.0,top
U8,182.245,-102.235,0.0,top
Y1,86.868,-74.522,270.0,top
